[2025-03-16T02:31:24.685819] Added Carrot at (5, 0).
[2025-03-16T02:31:27.790888] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:27.791218] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:27.791498] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:27.791723] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:27.791937] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:27.792140] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:27.792349] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:27.792630] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:27.792825] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:27.793034] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:27.793217] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:27.793397] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:27.793574] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:27.793754] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:27.793971] Harvesting system activated.
[2025-03-16T02:31:28.805659] Water evaporated. Remaining water: 98000 ml.
[2025-03-16T02:31:28.806150] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:28.806593] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:28.806871] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:28.807174] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:28.807459] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:28.807754] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:28.807969] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:28.808226] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:28.808574] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:28.808890] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:28.809200] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:28.809470] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:28.809699] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:28.809947] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:28.810143] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:28.810338] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:28.810745] Harvesting system activated.
[2025-03-16T02:31:29.790079] Water evaporated. Remaining water: 97500 ml.
[2025-03-16T02:31:29.790802] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:29.791327] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:29.791647] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:29.791955] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:29.792228] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:29.792519] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:29.792791] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:29.793070] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:29.793340] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:29.793643] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:29.793863] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:29.794080] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:29.794289] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:29.794516] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:29.794735] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:29.794967] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:29.795232] Harvesting system activated.
[2025-03-16T02:31:29.797053] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:29.797446] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:29.797720] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:29.797976] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:29.798383] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:29.798604] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:29.798826] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:29.799027] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:29.799261] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:29.799484] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:29.799718] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:29.799926] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:29.800113] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:29.800333] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:29.800731] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:29.801002] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:29.801485] Sun has set. Turning on artificial lights.
[2025-03-16T02:31:29.802106] Lighting system activated at (0,0) for Lavender
[2025-03-16T02:31:29.802361] Lighting system activated at (0,1) for Lettuce
[2025-03-16T02:31:29.802562] Lighting system activated at (0,3) for Lettuce
[2025-03-16T02:31:29.802746] Lighting system activated at (0,5) for Lavender
[2025-03-16T02:31:29.802931] Lighting system activated at (1,3) for Eggplant
[2025-03-16T02:31:29.803111] Lighting system activated at (1,5) for Corn
[2025-03-16T02:31:29.803294] Lighting system activated at (2,0) for Corn
[2025-03-16T02:31:29.803479] Lighting system activated at (2,1) for Eggplant
[2025-03-16T02:31:29.803656] Lighting system activated at (2,4) for Eggplant
[2025-03-16T02:31:29.803840] Lighting system activated at (3,1) for Pumpkin
[2025-03-16T02:31:29.804021] Lighting system activated at (4,5) for Lettuce
[2025-03-16T02:31:29.804208] Lighting system activated at (5,0) for Carrot
[2025-03-16T02:31:29.804401] Lighting system activated at (5,2) for Carrot
[2025-03-16T02:31:29.804578] Lighting system activated at (5,3) for Eggplant
[2025-03-16T02:31:29.804754] Lighting system activated at (5,5) for Lavender
[2025-03-16T02:31:29.810108] Lavender at (0,0) growth hours: 0/12
[2025-03-16T02:31:29.810495] Lettuce at (0,1) growth hours: 0/6
[2025-03-16T02:31:29.810715] Lettuce at (0,3) growth hours: 0/6
[2025-03-16T02:31:29.810927] Lavender at (0,5) growth hours: 0/12
[2025-03-16T02:31:29.811249] Eggplant at (1,3) growth hours: 0/72
[2025-03-16T02:31:29.811456] Corn at (1,5) growth hours: 0/12
[2025-03-16T02:31:29.811655] Corn at (2,0) growth hours: 0/12
[2025-03-16T02:31:29.811849] Eggplant at (2,1) growth hours: 0/72
[2025-03-16T02:31:29.812038] Eggplant at (2,4) growth hours: 0/72
[2025-03-16T02:31:29.812335] Pumpkin at (3,1) growth hours: 0/14
[2025-03-16T02:31:29.812579] Lettuce at (4,5) growth hours: 0/6
[2025-03-16T02:31:29.812806] Carrot at (5,0) growth hours: 0/7
[2025-03-16T02:31:29.813066] Carrot at (5,2) growth hours: 0/7
[2025-03-16T02:31:29.813304] Eggplant at (5,3) growth hours: 0/72
[2025-03-16T02:31:29.813514] Lavender at (5,5) growth hours: 0/12
[2025-03-16T02:31:29.813706] Corn at (6,0) growth hours: 0/12
[2025-03-16T02:31:29.813896] Eggplant at (6,2) growth hours: 0/72
[2025-03-16T02:31:29.814155] Corn at (6,3) growth hours: 0/12
[2025-03-16T02:31:29.814360] Carrot at (6,5) growth hours: 0/7
[2025-03-16T02:31:29.814579] Carrot at (7,2) growth hours: 0/7
[2025-03-16T02:31:29.814776] Eggplant at (7,3) growth hours: 0/72
[2025-03-16T02:31:29.814968] Pumpkin at (7,4) growth hours: 0/14
[2025-03-16T02:31:29.815180] Eggplant at (7,5) growth hours: 0/72
[2025-03-16T02:31:29.815344] Harvesting system activated.
[2025-03-16T02:31:30.805740] Water evaporated. Remaining water: 97000 ml.
[2025-03-16T02:31:30.806486] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:30.806927] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:30.807235] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:30.807518] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:30.807808] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:30.808177] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:30.808480] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:30.808748] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:30.809041] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:30.809325] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:30.809523] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:30.809718] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:30.809906] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:30.810100] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:30.810289] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:30.810485] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:30.810724] Harvesting system activated.
[2025-03-16T02:31:31.789538] Water evaporated. Remaining water: 96500 ml.
[2025-03-16T02:31:31.790185] Sunlight is available. No need for artificial lighting.
[2025-03-16T02:31:31.790808] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:31.791137] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:31.791411] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:31.791678] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:31.791928] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:31.792183] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:31.792459] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:31.792719] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:31.792973] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:31.793216] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:31.793481] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:31.793744] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:31.793993] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:31.794235] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:31.794431] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:31.794635] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:31.794953] Harvesting system activated.
[2025-03-16T02:31:32.789431] Water evaporated. Remaining water: 96000 ml.
[2025-03-16T02:31:32.789917] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:32.790394] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:32.790717] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:32.790972] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:32.791227] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:32.791473] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:32.791681] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:32.791893] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:32.792096] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:32.792288] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:32.792486] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:32.792674] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:32.792870] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:32.793062] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:32.793249] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:32.793447] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:32.793687] Harvesting system activated.
[2025-03-16T02:31:33.789366] Water evaporated. Remaining water: 95500 ml.
[2025-03-16T02:31:33.790071] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:33.790557] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:33.790836] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:33.791129] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:33.791389] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:33.791727] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:33.791969] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:33.792202] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:33.792455] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:33.792711] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:33.792898] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:33.793090] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:33.793308] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:33.793495] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:33.793681] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:33.793861] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:33.794081] Harvesting system activated.
[2025-03-16T02:31:34.805518] Water evaporated. Remaining water: 95000 ml.
[2025-03-16T02:31:34.805925] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:34.806407] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:34.806668] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:34.806857] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:34.807009] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:34.807135] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:34.807703] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:34.808001] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:34.808186] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:34.808749] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:34.809044] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:34.809300] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:34.809569] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:34.809746] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:34.810006] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:34.810229] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:34.810388] Harvesting system activated.
[2025-03-16T02:31:34.810878] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:34.811091] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:34.811316] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:34.811435] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:34.811568] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:34.811752] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:34.811908] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:34.812129] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:34.812339] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:34.812544] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:34.812675] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:34.812814] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:34.812946] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:34.813084] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:34.813197] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:34.813309] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:34.813527] Sunlight is available. No need for artificial lighting.
[2025-03-16T02:31:34.813888] Lavender at (0,0) growth hours: 0/12
[2025-03-16T02:31:34.814091] Lettuce at (0,1) growth hours: 0/6
[2025-03-16T02:31:34.814253] Lettuce at (0,3) growth hours: 0/6
[2025-03-16T02:31:34.814475] Lavender at (0,5) growth hours: 0/12
[2025-03-16T02:31:34.814868] Eggplant at (1,3) growth hours: 24/72
[2025-03-16T02:31:34.815041] Corn at (1,5) growth hours: 0/12
[2025-03-16T02:31:34.815166] Corn at (2,0) growth hours: 0/12
[2025-03-16T02:31:34.815371] Eggplant at (2,1) growth hours: 24/72
[2025-03-16T02:31:34.815546] Eggplant at (2,4) growth hours: 24/72
[2025-03-16T02:31:34.815750] Pumpkin at (3,1) growth hours: 0/14
[2025-03-16T02:31:34.815911] Lettuce at (4,5) growth hours: 0/6
[2025-03-16T02:31:34.816051] Carrot at (5,0) growth hours: 0/7
[2025-03-16T02:31:34.816217] Carrot at (5,2) growth hours: 0/7
[2025-03-16T02:31:34.816340] Eggplant at (5,3) growth hours: 24/72
[2025-03-16T02:31:34.816499] Lavender at (5,5) growth hours: 0/12
[2025-03-16T02:31:34.816622] Corn at (6,0) growth hours: 0/12
[2025-03-16T02:31:34.816748] Eggplant at (6,2) growth hours: 24/72
[2025-03-16T02:31:34.816928] Corn at (6,3) growth hours: 0/12
[2025-03-16T02:31:34.817088] Carrot at (6,5) growth hours: 0/7
[2025-03-16T02:31:34.817263] Carrot at (7,2) growth hours: 0/7
[2025-03-16T02:31:34.817623] Eggplant at (7,3) growth hours: 24/72
[2025-03-16T02:31:34.817803] Pumpkin at (7,4) growth hours: 0/14
[2025-03-16T02:31:34.818024] Eggplant at (7,5) growth hours: 24/72
[2025-03-16T02:31:34.818138] Harvesting system activated.
[2025-03-16T02:31:35.805351] Water evaporated. Remaining water: 94500 ml.
[2025-03-16T02:31:35.805706] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:35.806133] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:35.806345] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:35.806529] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:35.806711] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:35.806886] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:35.807063] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:35.807237] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:35.807405] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:35.807581] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:35.807745] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:35.807903] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:35.808085] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:35.808304] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:35.808521] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:35.808712] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:35.808925] Harvesting system activated.
[2025-03-16T02:31:36.805627] Water evaporated. Remaining water: 94000 ml.
[2025-03-16T02:31:36.805871] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:36.806274] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:36.806417] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:36.806543] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:36.806674] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:36.806790] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:36.806901] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:36.807009] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:36.807121] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:36.807233] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:36.807344] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:36.807456] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:36.807563] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:36.807685] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:36.807803] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:36.807911] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:36.808067] Harvesting system activated.
[2025-03-16T02:31:37.789670] Water evaporated. Remaining water: 93500 ml.
[2025-03-16T02:31:37.790138] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:37.790627] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:37.790876] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:37.791071] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:37.791259] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:37.791515] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:37.791691] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:37.791866] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:37.792042] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:37.792208] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:37.792379] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:37.792546] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:37.792716] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:37.792889] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:37.793062] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:37.793261] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:37.793473] Harvesting system activated.
[2025-03-16T02:31:38.805816] Water evaporated. Remaining water: 93000 ml.
[2025-03-16T02:31:38.806101] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:38.806518] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:38.806697] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:38.806854] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:38.806995] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:38.807138] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:38.807280] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:38.807470] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:38.807660] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:38.807823] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:38.807978] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:38.808132] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:38.808276] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:38.808426] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:38.808574] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:38.808716] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:38.808911] Harvesting system activated.
[2025-03-16T02:31:39.805463] Water evaporated. Remaining water: 92500 ml.
[2025-03-16T02:31:39.806104] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:39.806672] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:39.807020] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:39.807404] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:39.807681] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:39.807906] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:39.808147] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:39.808367] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:39.808571] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:39.808877] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:39.809122] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:39.809353] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:39.809596] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:39.809825] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:39.810081] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:39.810272] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:39.810486] Harvesting system activated.
[2025-03-16T02:31:39.810977] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:39.811163] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:39.811447] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:39.811626] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:39.811806] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:39.811993] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:39.812164] Watering system activated at (3,1) for Pumpkin
